# =============================================================================
# suburb_nsw_freq.csv - Frequency table for suburbs in New South Wales
#
# Based on 'Australia on Disk' data files (2002)
#
# Last update: 31/03/2005, Peter Christen
# =============================================================================

# =============================================================================
# This table is in a two-column comma separated format, with the first column
# being the names and the second a corresponding frequency count. 
# =============================================================================

goolma,73
goolmangar,172
gooloogong,166
goondah,5
goonellabah,4406
goonengerry,156
goonumbla,54
goorangoola,2
goorianawa,6
gordon,2174
gordonville,20
gormans_hill,2
gorokan,3857
gosford,2023
gosford_east,1709
gosford_north,899
gosford_west,603
gosforth,21
goulburn,8080
gouldsville,6
gowrie,40
grabben_gullen,95
gradys_creek,11
grafton,4387
graham,7
grahams_valley,7
grahamstown,12
graman,38
granville,4683
grasmere,61
grassmere,2
grassy_head,30
grattai,114
gravesend,145
grawin,27
grawlin,4
grays_point,1071
great_mackerel_beach,84
great_marlow,3
green_forest,4
green_hill,95
green_hills,74
green_pigeon,29
green_point,2316
green_valley,2099
greenacre,6641
greendale,34
greenethorpe,93
greenfield_farm,5
greenfield_park,916
greenhills,12
greenlands,23
greenridge,41
greenwell_point,581
greenwich,1925
greenwich_park,7
greg_greg,2
gregadoo,21
greghamstown,6
greigs_flat,28
grenfell,1235
gresford,117
gresham,2
greta,693
grevillia,74
greystanes,6073
griffith,6002
grogan,12
grong_grong,145
grose_vale,396
grose_wold,111
growee_gulph,2
gubbata,14
guerilla_bay,73
guildford,6666
guildford_west,385
gulargambone,366
gulf_creek,10
gulgong,1247
gulmarrad,75
gulpa,14
gum_flat,38
gum_scrub,34
gumble,26
gumly_gumly,85
gumma,41
gunbar,15
gundabloui,8
gundagai,995
gundaroo,299
gundary,6
gunderman,88
gundillion,35
gundurimba,48
gundy,72
gungal,85
gunnedah,3999
gunning,360
gunningbland,31
gunyerwarildi,2
gurley,120
gurranang,8
gurrundah,7
guyong,2
guyra,1039
gwabegar,62
gwandalan,1089
gwandalan_west,6
gwynneville,893
gymea,3136
gymea_bay,1773
gymea_bay_south,3
gymea_north,2
haberfield,2299
haberworth,4
halekulani,58
halfway_creek,92
hallidays_point,576
halloran,2
halls_creek,5
hallsville,171
halton,7
hamilton,2845
hamilton_north,144
hamilton_south,954
hamilton_valley,7
hamlyn_terrace,521
hammondville,713
hampton,62
hanging_rock,56
hannam_vale,120
hanwood,477
harbord,3926
harden,879
hardys_bay,184
harefield,26
hargraves,136
harrington,804
harrington_park,746
harris_park,1642
hartley,121
hartley_vale,37
harwood,26
harwood_island,126
hassall,2
hassall_grove,896
hastings_point,333
hat_head,172
hawkesbury_heights,121
hawks_nest,843
hay,1325
haymarket,101
hazelbrook,1485
hazelgrove,28
heathcote,2100
heatherbrae,67
hebden,15
hebersham,1402
heckenberg,735
heddon_greta,374
helensburgh,1686
henley,149
henty,536
hermidale,74
hernani,57
herons_creek,111
hewetsons_mill,3
hexham,61
hibbard,2
hickeys_creek,28
high_range,154
highfields,307
hill_end,99
hill_top,674
hilldale,69
hillgrove,59
hillsborough,230
hillsdale,1703
hillston,626
hilltop,3
hillville,57
hillvue,66
hinchinbrook,2027
hinton,139
hobartville,189
hobbys_yards,29
hogarth_range,29
holbrook,819
holgate,283
hollisdale,13
hollydeen,4
holmesville,476
holmwood,10
holroyd,18
holsworthy,1163
home_rule,48
homebush,1792
homebush_bay,128
homebush_west,805
homeleigh,31
hopkins_creek,5
horningsea_park,565
hornsby,7121
hornsby_heights,2055
horse_ridges,5
horseshoe_bend,28
